froi,size,effect_run,froi_run,subject,effect
5,0.2796372285355692,2,orth2,087,S
5,1.4588879495859146,3,orth3,087,S
6,2.581956792522121,1,orth1,087,S
6,1.4050598461684343,2,orth2,087,S
6,1.8933142165879946,3,orth3,087,S
1,0.9558550877865645,1,orth1,087,W
1,0.17307414691483436,2,orth2,087,W
1,1.3253175067480931,3,orth3,087,W
2,0.9860936391719237,1,orth1,087,W
2,0.19718729270576144,2,orth2,087,W
2,0.5811179056533693,3,orth3,087,W
3,-0.29362086801120313,1,orth1,087,W
3,-0.487141678808257,2,orth2,087,W
3,0.4673136816618353,3,orth3,087,W
4,1.3584900659483832,1,orth1,087,W
4,0.3175189969557765,2,orth2,087,W
4,1.7194222564670585,3,orth3,087,W
5,1.4482415733130083,1,orth1,087,W
5,-0.2679734037298223,2,orth2,087,W
5,1.4185421894425931,3,orth3,087,W
6,1.9681002356716104,1,orth1,087,W
6,0.5329493236904209,2,orth2,087,W
6,1.4970692009539217,3,orth3,087,W
1,0.5737179573403582,1,orth1,087,N
1,-0.050285959569182956,2,orth2,087,N
1,0.6538655761420271,3,orth3,087,N
2,0.4458486755467652,1,orth1,087,N
2,-0.02479352008689333,2,orth2,087,N
2,0.01857244701665125,3,orth3,087,N
3,-0.48674974296591245,1,orth1,087,N
3,-0.6626620167517103,2,orth2,087,N
3,-0.6077491386677139,3,orth3,087,N
4,0.6637920276136011,1,orth1,087,N
4,0.20714988069281587,2,orth2,087,N
4,0.6593814933848744,3,orth3,087,N
5,1.1716755200987277,1,orth1,087,N
5,-0.43632399503384595,2,orth2,087,N
5,1.007523211610058,3,orth3,087,N
6,0.7609537697925761,1,orth1,087,N
6,0.2879429030660036,2,orth2,087,N
6,0.345005239618036,3,orth3,087,N
1,1.0743267884300578,1,orth1,078,S
1,0.7558978235817888,2,orth2,078,S
1,1.149832415609893,3,orth3,078,S
2,0.4479646234957064,1,orth1,078,S
2,1.1091509698660194,2,orth2,078,S
2,1.145476352840225,3,orth3,078,S
3,0.5579907731153071,1,orth1,078,S
3,0.508860657850164,2,orth2,078,S
3,0.5265372163776192,3,orth3,078,S
4,0.4710267789385005,1,orth1,078,S
4,0.8109055194764625,2,orth2,078,S
4,0.9130499225260841,3,orth3,078,S
5,1.7102545046288034,1,orth1,078,S
5,0.7369689241699551,2,orth2,078,S
5,0.9840020258789477,3,orth3,078,S
6,0.6632072643653767,1,orth1,078,S
6,0.6908500116142268,2,orth2,078,S
6,0.9709789406608891,3,orth3,078,S
1,1.0762349449123452,1,orth1,078,W
1,0.5348092332311278,2,orth2,078,W
1,1.5021346400422202,3,orth3,078,W
2,-0.018863353039638174,1,orth1,078,W
2,0.6624139783398053,2,orth2,078,W
2,1.4721997194710752,3,orth3,078,W
3,0.3078929290641099,1,orth1,078,W
3,0.04283322343690088,2,orth2,078,W
3,0.6894234806309214,3,orth3,078,W
4,0.7988329003313305,1,orth1,078,W
4,0.5491824128312638,2,orth2,078,W
4,0.8364152965463094,3,orth3,078,W
5,1.4520168958798698,1,orth1,078,W
5,0.4763987594810517,2,orth2,078,W
5,1.1330073262038438,3,orth3,078,W
6,0.8140336552987227,1,orth1,078,W
6,0.39183625780247355,2,orth2,078,W
6,1.6379330279053868,3,orth3,078,W
1,0.5145983694883088,1,orth1,078,N
1,-0.234354657331461,2,orth2,078,N
1,0.7687957705961553,3,orth3,078,N
2,-0.44821113088444153,1,orth1,078,N
2,-0.29744160664537317,2,orth2,078,N
2,-0.06441004740442206,3,orth3,078,N
3,-0.2853922612775932,1,orth1,078,N
3,-0.5798548016173299,2,orth2,078,N
3,-0.4757832475588657,3,orth3,078,N
4,0.17078689767702207,1,orth1,078,N
4,0.05351788258633098,2,orth2,078,N
4,0.30671487017408816,3,orth3,078,N
5,1.193129768514115,1,orth1,078,N
5,-0.40518751145219023,2,orth2,078,N
5,0.6441175659875507,3,orth3,078,N
6,0.25630072587345903,1,orth1,078,N
6,-0.15132569426016226,2,orth2,078,N
6,0.5994327591505606,3,orth3,078,N
1,1.5010602188987188,1,orth1,089,S
1,0.978416499263626,2,orth2,089,S
1,0.8309421257803306,3,orth3,089,S
2,0.6105679933637105,1,orth1,089,S
2,0.5366330985181079,2,orth2,089,S
2,0.4688361089153468,3,orth3,089,S
3,0.8715662756876554,1,orth1,089,S
3,0.16241146847460186,2,orth2,089,S
3,0.31960970419459045,3,orth3,089,S
4,1.6819492473795608,1,orth1,089,S
4,0.7496644525562186,2,orth2,089,S
4,0.7221138831983144,3,orth3,089,S
5,4.02872109413147,1,orth1,089,S
5,3.172068689180457,2,orth2,089,S
5,2.7895954380864683,3,orth3,089,S
6,3.168280488735921,1,orth1,089,S
6,1.9128536211477745,2,orth2,089,S
6,1.3946033128210016,3,orth3,089,S
1,1.036470831020222,1,orth1,089,W
1,0.474506267799432,2,orth2,089,W
1,0.331539261979241,3,orth3,089,W
2,0.4291681241277134,1,orth1,089,W
2,0.2008260923648328,2,orth2,089,W
2,0.30083529337849696,3,orth3,089,W
3,0.29913575254613534,1,orth1,089,W
3,-0.18945332151042749,2,orth2,089,W
